id;name;squence;approval_setting_id;company_id;status;last_modified;last_modified_by
1;XML motivating;89653;96369;62255;Dynamic Park cyan;2023-02-24T14:44:06;Granite
2;Architect Books;25152;31495;95458;payment granular;2023-02-24T13:28:39;intermediate
3;Synchronised Iraq;45288;93048;30553;infrastructures programming;2023-02-24T18:33:24;Configuration
4;mint Avon Associate;98887;38231;67728;Cambridgeshire Mayotte reboot;2023-02-24T15:25:18;niches
5;Leu vortals;83707;92667;56178;analyzer maroon Account;2023-02-24T17:43:22;uniform matrices Chair
6;Table;50186;23617;7672;framework Florida Shoes;2023-02-25T04:42:03;Handcrafted Kuwait
7;program Orchestrator mission-critical;55140;44892;73163;holistic;2023-02-24T17:50:36;pink invoice application
8;Account Azerbaijan parsing;53227;14529;27800;client-server Texas;2023-02-25T07:52:03;SDD Music
9;Cambridgeshire synthesize New;28968;90348;21962;Plastic back users;2023-02-25T01:34:37;calculating
10;mobile;11807;41651;86729;technologies;2023-02-24T14:33:03;Buckinghamshire platforms state
