id;type;approval_category;company_id;status;last_modified;last_modified_by
1;systemic Director;72322;81007;interface;2023-02-24T18:54:37;override
2;asynchronous;97809;40470;Fantastic redundant XML;2023-02-24T23:33:52;benchmark
3;array niches Shirt;90126;68710;withdrawal multi-byte;2023-02-24T12:46:58;pixel Gloves Cotton
4;payment foreground;88506;3544;Practical;2023-02-25T03:13:59;Frozen e-markets Franc
5;pink online Borders;79493;55193;Granite Central Checking;2023-02-24T09:25:48;Multi-lateral Senior fresh-thinking
6;override;30755;85860;Account;2023-02-25T06:53:04;algorithm architecture
7;engage Coordinator synthesize;16523;70991;Slovenia;2023-02-25T02:32:09;Bedfordshire quantify
8;synergistic Chief;62155;5365;Computer Concrete Digitized;2023-02-24T12:45:33;Buckinghamshire Practical
9;Clothing Specialist;29387;71582;bandwidth metrics Berkshire;2023-02-25T05:46:14;Mississippi
10;Associate Assurance Inverse;1731;75533;firmware;2023-02-24T10:50:06;transmitting
