id;leave_policy_id;employee_id;days;company_id;status;last_modified;last_modified_by
1;32534;44022;54480;55081;Corporate empower;2023-02-25T07:57:59;connecting
2;58396;70451;85175;21995;firewall optical Saint;2023-02-25T04:33:21;Shore channels
3;16654;6994;25178;88148;Car Data Shirt;2023-02-24T09:02:33;navigate Rustic
4;38573;85708;89554;73023;Concrete Fantastic;2023-02-25T06:11:10;1080p
5;96422;84608;96199;49513;override Clothing models;2023-02-24T16:14:52;Customer multi-tasking
6;41160;47720;68019;38668;indigo Pakistan;2023-02-25T06:01:02;payment Inverse calculating
7;189;24854;58156;96152;purple relationships;2023-02-24T17:09:46;Granite Cheese Rubber
8;13138;16182;70703;44206;Connecticut Integration;2023-02-24T11:05:28;reciprocal
9;53039;6717;40773;90307;Designer transmitting;2023-02-24T21:15:03;Bike Salad
10;21749;194;93043;86615;Surinam;2023-02-24T15:31:18;Japan
