id;name;company_id;status;last_modified;last_modified_by
1;Virtual;72699;Rupee AGP engage;2023-02-24T23:32:11;Incredible
2;open-source;15186;TCP Tasty navigating;2023-02-25T03:42:38;e-markets Awesome
3;France Specialist Avon;60480;Dominica;2023-02-25T00:28:53;Slovakia
4;Won;84668;Investment;2023-02-24T21:06:44;User-friendly
5;Toys encompassing deposit;99928;Auto;2023-02-24T18:23:22;Cotton withdrawal capacity
6;protocol web-enabled;80914;Cross-platform markets Investor;2023-02-25T05:27:27;Loan Account mint
7;asynchronous Card;75802;model;2023-02-24T08:49:44;Dram
8;USB RAM online;15356;Iceland Assurance asymmetric;2023-02-24T23:46:15;Fundamental matrix Lithuania
9;Baby;86236;salmon;2023-02-25T02:00:14;Licensed national
10;Chair Tuna;3648;interactive Tuna experiences;2023-02-25T05:17:44;Regional neural hack
