id;name;department_id;company_id;status;last_modified;last_modified_by
1;Liaison alarm Market;2507;64905;Fresh withdrawal;2023-02-24T16:46:05;incremental
2;Dollar District;29018;55307;deposit Cambridgeshire Rupee;2023-02-24T08:22:33;digital
3;hack Pataca teal;65168;25411;quantifying;2023-02-24T21:10:03;silver hacking
4;Lead;91596;38755;scalable back-end Berkshire;2023-02-25T05:06:50;interface invoice
5;Centers optical Soap;54831;22161;Integration Central;2023-02-25T03:27:47;Colorado
6;Ergonomic;73170;6334;Auto Intelligent RAM;2023-02-24T15:00:52;Cross-platform
7;Buckinghamshire;75621;45831;architecture;2023-02-25T07:20:03;District York
8;schemas Market neural-net;4239;33283;Illinois Checking Rubber;2023-02-24T21:01:26;Granite Dynamic
9;Steel mint data-warehouse;66534;86954;hacking;2023-02-25T06:41:30;mesh plug-and-play orchestrate
10;Plastic;22947;31140;Loan Lead withdrawal;2023-02-25T01:11:22;Incredible Salad
