id;leave_type_id;employee_id;carried_leaves;credited_leaves;date;balance;company_id;status;last_modified;last_modified_by
1;32177;78241;deposit Integration;Iran;2023-02-25T03:10:03;Exclusive;95891;Managed Buckinghamshire global;2023-02-24T17:40:52;Philippines
2;53087;74600;visionary methodologies;Ball;2023-02-25T01:49:11;THX sensor olive;66274;connecting invoice Industrial;2023-02-24T21:05:41;productivity
3;90681;24224;Sausages;Nuevo;2023-02-24T18:43:26;Rubber;65123;Plastic Organic SSL;2023-02-24T21:32:00;users Jersey Tuna
4;19233;47554;portal;firewall;2023-02-24T18:12:22;Toys turquoise Haven;82563;XSS world-class Kentucky;2023-02-24T11:52:50;calculating withdrawal
5;29670;48807;bleeding-edge Cotton mobile;Outdoors;2023-02-24T10:02:18;quantifying;94176;Anguilla;2023-02-24T09:23:13;Plastic lavender Central
6;13867;34903;Communications;Direct;2023-02-24T14:59:23;Bedfordshire firewall Mouse;21611;New interfaces Pound;2023-02-24T17:28:59;XML
7;32802;31267;orchid Pizza;mint Kentucky;2023-02-24T21:55:41;infomediaries PNG digital;79265;PNG User-friendly;2023-02-24T19:16:49;invoice
8;54149;92786;indexing SAS green;Wells;2023-02-24T15:56:24;Germany asynchronous;91377;Automotive Savings Grocery;2023-02-24T12:15:58;action-items
9;75037;8598;microchip strategize;Enterprise-wide Gloves;2023-02-24T16:52:22;Data B2B SDD;75363;Liberia and;2023-02-24T11:38:09;Jamaican Quetzal Horizontal
10;64864;78001;reboot;program user-centric;2023-02-24T16:04:06;Carolina Metal;417;maximized Handmade SMTP;2023-02-24T10:42:42;Outdoors transmitting Sleek
