id;leave_type;balance_leave;no_of_days;reason;year;form_date;to_date;leave_status;status;employe_id;company_id;last_modified;last_modified_by
1;Accounts withdrawal;66828;66137;Corporate Account;17943;2023-02-25T01:27:58;2023-02-24T17:26:33;Functionality;concept artificial Granite;88698;38352;2023-02-25T07:25:23;Kansas Account application
2;Technician Generic;31641;57298;Music Georgia Producer;43596;2023-02-25T06:00:25;2023-02-25T04:39:27;interface;Malaysia Savings;91537;1696;2023-02-25T04:41:44;Team-oriented Steel
3;Estates Loan;46837;63465;conglomeration;21381;2023-02-24T11:41:59;2023-02-25T05:25:50;payment robust;Dynamic Buckinghamshire input;91717;66948;2023-02-25T07:45:40;invoice silver
4;virtual payment strategize;26689;48976;quantify;36126;2023-02-24T23:36:19;2023-02-25T07:04:33;gold;invoice matrix Dollar;75881;65085;2023-02-25T02:37:46;out-of-the-box Baby tan
5;Group gold;31255;25326;connect payment Ohio;63530;2023-02-24T19:17:19;2023-02-24T22:01:48;Latvian silver;Developer;87772;66318;2023-02-24T19:21:00;Peso open-source South
6;haptic Nuevo Consultant;16375;90961;parsing maximized;6348;2023-02-25T04:21:37;2023-02-24T21:51:32;Loan;enhance Investment;43178;29890;2023-02-24T12:46:14;payment
7;Towels Account Rubber;59013;55168;blockchains Metal;2672;2023-02-25T00:04:24;2023-02-24T10:06:00;Producer;Car;11389;32269;2023-02-25T07:54:10;Tactics copy Australia
8;HDD models;40486;11237;port;1211;2023-02-24T23:18:06;2023-02-24T20:36:04;navigating Streets;Awesome;83548;14373;2023-02-24T12:42:01;Future program cyan
9;index Plastic bandwidth;98549;46513;Soft Fresh Bacon;52122;2023-02-24T20:32:53;2023-02-25T07:10:14;Salad;online embrace;42080;53839;2023-02-24T15:01:23;Account Credit
10;card;68494;55684;Account Administrator Bacon;82136;2023-02-24T22:13:16;2023-02-24T13:59:42;Turnpike multimedia;Cheese;74976;53349;2023-02-24T08:25:58;card copying
