id;leave_type;is_carry_forword;employee_type;gender_leave;total_leave;max_leave;haspro_rata_leave;description;company_id;status;last_modified;last_modified_by
1;schemas;true;XML Pennsylvania Account;up;Switchable;Seamless Orchestrator;false;Corporate;98640;gold Bedfordshire;2023-02-25T05:26:53;haptic Neck
2;Loan Human;true;Bike;content JSON Bike;Liaison;Unbranded Plastic;true;Executive of Account;68668;monitor Legacy;2023-02-24T17:02:00;transmit Trail override
3;solutions;false;Taka Senior Namibia;Buckinghamshire;input;Dong cross-platform Fish;true;Ergonomic;81297;1080p;2023-02-25T03:19:51;input
4;Tasty Lebanese Organic;false;USB Suriname Uganda;deposit deposit e-business;pixel;capacitor SAS Lao;false;Product;88710;Designer;2023-02-24T08:53:25;Market
5;scalable Guam Tennessee;true;Planner;sticky Arizona;Forward SQL;Directives Cross-group Cross-group;true;SDD Brand;76017;XML Keyboard;2023-02-25T03:33:13;Granite RAM
6;Shoes;true;transmit hack;markets THX bottom-line;JBOD;South hacking;false;Executive seize;23394;Yemen Burundi;2023-02-25T07:39:12;Kansas
7;function Bacon Frozen;false;Street feed;quantifying Functionality Chair;Practical Functionality Agent;Steel;false;Cambridgeshire Associate;41530;deposit;2023-02-25T06:19:45;Plastic Bhutan Profound
8;deposit optimal;true;Concrete productize;impactful Soft;Computers Buckinghamshire;architecture Savings invoice;true;enterprise olive;87088;redefine Cuban Computer;2023-02-25T07:21:56;Vision-oriented tan
9;Money Checking;true;Tactics;Realigned Liaison administration;Movies utilize Global;Fish;true;Internal;79685;Dalasi;2023-02-25T03:02:08;HTTP
10;Central;true;1080p;Lane complexity Ghana;workforce;bluetooth Concrete;false;input;57370;Metal Buckinghamshire;2023-02-24T14:49:24;foreground bandwidth Toys
