id;leave_type;no_of_days;company_id;status;last_modified;last_modified_by;has_carry_forward;has_earned;has_custom_policy
1;salmon Concrete;Omani Market;91408;Sleek;2023-02-24T11:45:47;Soft Direct index;true;false;true
2;synergy;Coordinator bandwidth Movies;30216;deposit;2023-02-24T09:46:10;SDD Strategist;true;true;false
3;Auto Road;Refined visionary portals;81857;systems Fresh;2023-02-24T18:41:11;Salad Analyst;true;false;true
4;Public-key;Dynamic methodical Hampshire;33149;Operative Borders Future;2023-02-24T15:18:54;indigo;false;false;true
5;Rubber Exclusive;Home Concrete tertiary;49929;matrix;2023-02-25T05:00:07;Shoes;false;true;false
6;Loti program;Concrete tertiary Colorado;13086;navigate;2023-02-24T08:31:19;moratorium Cambridgeshire;false;false;true
7;definition Fish;plum generate;33361;Parkways;2023-02-25T06:58:18;bypass;false;false;true
8;Jersey Home;Orchestrator Chief Planner;19709;Jewelery;2023-02-24T18:41:55;open-source USB reintermediate;true;true;false
9;feed Rubber;Future-proofed;48577;Sports Ball;2023-02-25T02:08:29;Alaska;true;false;false
10;bandwidth target;bus blue;41779;Washington Pike;2023-02-25T00:36:54;Bedfordshire;true;true;false
