id;region_name;description;region_id;company_id;status;last_modified;last_modified_by
1;International Practical;Jordanian;56433;4408;Engineer schemas content-based;2023-02-24T17:39:14;Practical
2;Gorgeous;payment Refined payment;78567;12158;California;2023-02-24T10:21:23;New state SCSI
3;optical;Virginia Small;62851;45379;Cambridgeshire;2023-02-24T08:57:55;system withdrawal
4;Coordinator scale open-source;Spring connecting Tuna;40705;59368;orange;2023-02-25T03:38:49;pixel
5;Baby Refined;incremental;3071;84652;Kuwait;2023-02-25T05:19:48;Connecticut Serbia
6;attitude;Bedfordshire Health;80284;11989;haptic Garden magenta;2023-02-24T20:55:15;Savings
7;Operations green mobile;global;44539;15812;Fish Cambridgeshire;2023-02-24T10:12:35;Australian black
8;deposit;Aruba Rhode;633;94819;Pitcairn;2023-02-25T00:27:21;SDD
9;state web-enabled;Avon Bike;91656;33282;Avenue Future;2023-02-24T18:34:04;Automotive Cambridgeshire navigating
10;hardware;front-end global;84821;34298;Hungary;2023-02-24T16:07:01;Bike Metal neural
