id;employee_id;reporting_emp_id;reporting_id;company_id;status;last_modified;last_modified_by
1;33792;92044;6820;4404;Alabama Legacy Books;2023-02-24T13:42:33;Cambridgeshire
2;86256;92892;4424;70384;Vermont;2023-02-24T14:37:15;Internal
3;67504;1996;30734;31272;Leone;2023-02-24T16:17:42;GB withdrawal Keyboard
4;14448;20267;79286;14157;Operations frictionless;2023-02-24T20:51:48;Keyboard
5;81153;17175;76165;39414;Dynamic Sleek HTTP;2023-02-24T09:43:01;Toys
6;84757;29829;95279;5275;implement Assistant Corporate;2023-02-24T19:33:08;overriding Manors
7;61802;507;94409;58624;Gibraltar lime Soft;2023-02-24T13:24:44;Dynamic Avon
8;97859;45625;49744;83391;1080p magnetic invoice;2023-02-24T21:53:21;impactful Customer
9;31593;90962;43626;87069;Avon Oregon bifurcated;2023-02-25T07:30:49;Avon
10;63207;41872;10949;64790;Turkey Managed Assurance;2023-02-24T12:59:01;Islands Metal
