id;da;hra;employee_share;company_share;company_id;status;last_modified;last_modified_by
1;90856;37387;70291;26242;94693;state Buckinghamshire Designer;2023-02-25T03:42:04;groupware Shoes Account
2;47348;79902;59123;85067;14080;tan;2023-02-25T06:12:25;Kids
3;78938;6931;13072;90433;71433;backing Florida;2023-02-24T21:15:45;synthesize Toys deposit
4;19634;51191;38306;9284;43033;B2B Ramp;2023-02-25T06:37:26;index Washington
5;91896;47629;93686;51548;68346;Investment;2023-02-24T12:18:27;bus
6;89271;7711;29350;61624;4133;Identity Avon Producer;2023-02-25T05:19:42;unleash Persistent
7;49359;61647;96809;3500;94492;programming;2023-02-24T18:59:56;yellow generating
8;15104;98470;77183;45424;20455;Yen;2023-02-24T22:06:06;hacking Legacy Engineer
9;35064;68407;50290;56980;50054;parsing Ford Licensed;2023-02-24T23:43:35;extend Account transparent
10;97215;9530;7046;44804;40434;connect deposit;2023-02-24T21:05:26;open-source Wells firewall
