id;state_name;lgd_code;status;last_modified;last_modified_by
1;salmon;86960;Bedfordshire Salad;2023-02-25T02:46:33;withdrawal
2;Sleek Direct;16875;Missouri monitor orchid;2023-02-24T19:56:37;Auto conglomeration benchmark
3;Romania Mayen Streamlined;35263;Profit-focused content-based Chicken;2023-02-25T00:41:20;payment Fresh
4;XSS Tactics International;23227;Architect withdrawal;2023-02-24T20:03:51;generation payment Jewelery
5;hack;6655;Vision-oriented Wooden;2023-02-24T14:22:18;cutting-edge
6;transmitting Union Configuration;20171;Security Account;2023-02-24T23:47:06;Bacon Product Jewelery
7;Avon Keyboard;55333;up Forward mesh;2023-02-24T22:13:28;bluetooth
8;paradigms;11872;Iran Investor;2023-02-24T17:05:50;defect bypassing Facilitator
9;Point;31201;Tokelau Re-contextualized;2023-02-24T13:39:35;generate
10;plum Tennessee tan;81230;Prairie Total Mexico;2023-02-24T15:00:33;Customer generating
