id;salary_from;salary_to;percentage;salary_setting_id;company_id;status;last_modified;last_modified_by
1;2023-02-24T18:12:09;2023-02-24T17:35:48;79955;75045;80376;payment Table;2023-02-24T23:48:34;deposit
2;2023-02-24T11:33:23;2023-02-24T22:26:43;75769;28124;40533;Solomon pixel;2023-02-25T01:35:59;Tajikistan Berkshire capacitor
3;2023-02-24T11:59:35;2023-02-24T19:31:22;75394;23647;64188;Home;2023-02-24T20:41:23;Loan
4;2023-02-25T04:53:37;2023-02-24T09:28:05;39196;28488;26266;front-end Open-architected navigating;2023-02-25T07:39:58;Lats
5;2023-02-25T07:40:21;2023-02-25T02:50:22;21919;27510;77893;Frozen Cheese;2023-02-24T20:37:59;Stream
6;2023-02-24T15:43:52;2023-02-24T10:04:15;7003;70436;38690;sensor Global Chips;2023-02-24T21:52:05;index
7;2023-02-24T14:19:46;2023-02-25T04:22:05;26197;30453;46862;Maryland hub;2023-02-25T04:26:49;sky Chair
8;2023-02-25T06:15:24;2023-02-25T05:17:42;77596;58707;17088;integrate Technician;2023-02-24T16:46:26;Self-enabling Berkshire
9;2023-02-25T07:30:46;2023-02-25T01:25:16;25424;89714;91067;Soft Island;2023-02-24T11:40:14;virtual Small client-server
10;2023-02-24T15:58:10;2023-02-24T10:45:02;46628;59629;2332;Communications Handmade Engineer;2023-02-24T23:23:46;circuit indexing program
