id;day;hours;day_off;company_id;status;last_modified;last_modified_by
1;Bedfordshire copying e-business;Lats implementation transitional;false;92656;Inlet;2023-02-24T20:48:34;Technician
2;Chief Sports Generic;Eritrea Bouvet;false;87300;withdrawal Metal;2023-02-24T12:11:31;bluetooth Licensed
3;Industrial e-markets;SAS Object-based;false;63267;circuit;2023-02-24T08:47:09;e-enable
4;benchmark Shilling;paradigms Computers;true;14894;Electronics Analyst;2023-02-25T04:56:38;COM Health Soft
5;navigate;Assurance Rwanda Planner;false;21352;user payment Buckinghamshire;2023-02-24T08:17:31;Cotton
6;Granite;calculate Fresh Fantastic;false;69715;State) Strategist;2023-02-25T03:34:50;Cotton
7;Bacon synergistic sexy;Shores Mobility;false;30814;Verde;2023-02-24T10:10:25;New invoice Product
8;Books compressing International;invoice Meadows;true;21952;Steel Fields;2023-02-24T16:58:56;copy
9;bus compelling RSS;synthesizing evolve Optimization;false;21209;Plastic Architect Tools;2023-02-25T04:19:12;Table calculating
10;dynamic transitional;Chief;true;29487;Consultant Handcrafted e-commerce;2023-02-24T18:41:26;Lilangeni Licensed Soap
